,COF,SMILES-1-H,SMILES-2-H,Terminal Group 1,Terminal Group 2,intercept
0,0.13558937143769773,C(=O)C,Cc1ccccc1,acetyl,toluene,1.200483485686791
1,0.14577490373655275,FCF,C1=CC=C([N+](=O)[O-])C=C1,difluoromethyl,nitrophenyl,1.2228977017613838
2,0.15490960166694878,FCF,C(F)(F)F,difluoromethyl,perfluoromethyl,0.5836156068718674
3,0.13440138454563016,c1ccc(cc1)O,C1=CC=CC=C1,phenol,phenyl,2.0582080009920296
4,0.14089631736656286,C1=CC=C(F)C=C1,c1ccc(cc1)O,fluorophenyl,phenol,2.751926685568512
5,0.15256544403015196,FCF,C1=CC=CC=C1,difluoromethyl,phenyl,0.9859601397422564
6,0.13493144688974967,[N+](=O)[O-],c1ccc(cc1)O,nitro,phenol,3.396969840658152
7,0.12555082899446135,N,c1ccc(cc1)O,amino,phenol,6.27631251523262
8,0.14624601650851593,C,Cc1ccccc1,methyl,toluene,0.9230228451078744
9,0.14937600903849266,C1=CC=CC=C1,Cc1ccccc1,phenyl,toluene,0.19405309278695837
10,0.14194909878276327,C,c1ccc(cc1)O,methyl,phenol,1.033916838274818
11,0.1257231337349708,C=C,Cc1ccccc1,ethylene,toluene,0.48655934633063813
12,0.15159396386641014,C(C)C,Cc1ccccc1,isopropyl,toluene,1.0484504251154267
13,0.14054800795617042,C1=CC=C([N+](=O)[O-])C=C1,Cc1ccccc1,nitrophenyl,toluene,1.4723493190173418
14,0.1398295656061315,N,c1ccc(cc1)O,amino,phenol,6.795434587728888
15,0.11845725429386285,C(=O)O,c1ccc(cc1)O,carboxyl,phenol,7.080400999338899
16,0.10735115136839175,C#N,FCF,cyano,difluoromethyl,0.5615646994968992
17,0.13407917870726385,C1=CC=C([N+](=O)[O-])C=C1,c1ccc(cc1)O,nitrophenyl,phenol,3.423787436414725
18,0.15710097241976162,FCF,OC,difluoromethyl,methoxy,0.9856237668589043
19,0.14530321891060605,C(F)(F)F,c1ccc(cc1)O,perfluoromethyl,phenol,1.150354221773608
20,0.16237581162901432,O,Cc1ccccc1,hydroxyl,toluene,1.825307704332055
21,0.12347551719505465,N,c1ccc(cc1)O,amino,phenol,6.896670393169097
22,0.15928310308180135,C1CC1,Cc1ccccc1,cyclopropyl,toluene,0.6303323418460676
23,0.12524536404757353,C1=CC=C([N+](=O)[O-])C=C1,c1ccc(cc1)O,nitrophenyl,phenol,3.425113592701041
24,0.12373676135304214,[N+](=O)[O-],Cc1ccccc1,nitro,toluene,1.3164302243866914
25,0.13181990823118836,C(=O)C,c1ccc(cc1)O,acetyl,phenol,3.291691635998813
26,0.11412737343444218,C,c1ccc(cc1)O,methyl,phenol,1.3934004099633424
27,0.14368463800900944,C1=CC=C(F)C=C1,Cc1ccccc1,fluorophenyl,toluene,0.9050233742089264
28,0.13006080233304293,C1=CNC=C1,Cc1ccccc1,pyrrole,toluene,1.1895024804002556
29,0.1412586551881956,[N+](=O)[O-],Cc1ccccc1,nitro,toluene,0.20749153546343813
30,0.1424146785512766,N,Cc1ccccc1,amino,toluene,1.4845781354065148
31,0.13373687663548003,C1=CNC=C1,Cc1ccccc1,pyrrole,toluene,1.229930794521335
32,0.13346203090526723,[N+](=O)[O-],Cc1ccccc1,nitro,toluene,2.314892073436487
33,0.11817856557966111,C=C,Cc1ccccc1,ethylene,toluene,1.15054482451746
34,0.14351978597524762,C1CC1,Cc1ccccc1,cyclopropyl,toluene,0.8167742794290285
35,0.12686638253630222,C1=CC=CC=C1,Cc1ccccc1,phenyl,toluene,1.3251588555986706
36,0.15128408018396097,O,c1ccc(cc1)O,hydroxyl,phenol,6.0768934957286405
37,0.10620472482008654,C(C)C,c1ccc(cc1)O,isopropyl,phenol,1.2404589276544022
38,0.14182889150804334,FCF,C1=CC=C(F)C=C1,difluoromethyl,fluorophenyl,0.8599825422622982
39,0.11970773915274639,C(C)C,c1ccc(cc1)O,isopropyl,phenol,1.1623474471088726
40,0.1430369606497476,FCF,C,difluoromethyl,methyl,0.20640515309796514
41,0.13013185790558313,O,c1ccc(cc1)O,hydroxyl,phenol,6.281407447495845
42,0.12803165941091688,FCF,C1=CC=C([N+](=O)[O-])C=C1,difluoromethyl,nitrophenyl,1.6504876373177955
43,0.14451140372909865,OC,c1ccc(cc1)O,methoxy,phenol,3.476965268127895
44,0.1305064900642342,C(=O)C,c1ccc(cc1)O,acetyl,phenol,3.516278855377651
45,0.1527322170482411,C,Cc1ccccc1,methyl,toluene,0.26838402319243393
46,0.1105873739239505,C(=O)C,FCF,acetyl,difluoromethyl,0.8710988558792407
47,0.15772086197905494,N,FCF,amino,difluoromethyl,0.831083889524324
48,0.13203181527616975,C(=O)O,Cc1ccccc1,carboxyl,toluene,1.4419686509452818
49,0.1395184968797072,N,Cc1ccccc1,amino,toluene,1.625869913613506
50,0.14313786668844156,FCF,C1=CNC=C1,difluoromethyl,pyrrole,0.9042282058658659
51,0.14077905184156056,FCF,[N+](=O)[O-],difluoromethyl,nitro,1.0333078275192116
52,0.1404828344913296,OC,c1ccc(cc1)O,methoxy,phenol,3.2516959260734133
53,0.1393330222359428,FCF,O,difluoromethyl,hydroxyl,1.0679537434326734
54,0.1549781531147381,C(=O)O,FCF,carboxyl,difluoromethyl,0.6232268290590528
55,0.13656224110997287,C(=O)C,Cc1ccccc1,acetyl,toluene,1.2233625585813184
56,0.13149680886054252,C1=CC=C(F)C=C1,c1ccc(cc1)O,fluorophenyl,phenol,2.768233762990194
57,0.1431810281956661,C1=CC=C([N+](=O)[O-])C=C1,c1ccc(cc1)O,nitrophenyl,phenol,3.583102847286101
58,0.12195415942623666,FCF,C1=CNC=C1,difluoromethyl,pyrrole,1.0027174879894067
59,0.15485370808070717,C(=O)O,FCF,carboxyl,difluoromethyl,0.5497677963909764
60,0.15241784230900096,C1CC1,Cc1ccccc1,cyclopropyl,toluene,0.678435660997804
61,0.1460088181021402,FCF,C,difluoromethyl,methyl,0.7916343355846367
62,0.14102441141141883,C(=O)O,Cc1ccccc1,carboxyl,toluene,1.3850507756493937
63,0.16417112541354975,OC,Cc1ccccc1,methoxy,toluene,0.9506038088110338
64,0.14794070840725052,C(=O)C,Cc1ccccc1,acetyl,toluene,1.4898290838123125
65,0.11787202589966797,C#N,Cc1ccccc1,cyano,toluene,0.9585574684483502
66,0.13137720929354454,C(F)(F)F,Cc1ccccc1,perfluoromethyl,toluene,0.9493531152972301
67,0.15004482428524996,C1=CC=C(F)C=C1,Cc1ccccc1,fluorophenyl,toluene,0.6852409973613907
68,0.13918324233612456,C,Cc1ccccc1,methyl,toluene,0.9094590156372258
69,0.15292927094572914,C(F)(F)F,Cc1ccccc1,perfluoromethyl,toluene,0.47200260496695234
70,0.12532468448055853,C1=CC=C(F)C=C1,Cc1ccccc1,fluorophenyl,toluene,1.2828818754594402
71,0.17555750795895997,O,Cc1ccccc1,hydroxyl,toluene,1.2097795298497278
72,0.12084778947340505,C(=O)C,c1ccc(cc1)O,acetyl,phenol,4.074029231220541
73,0.15781915498335283,FCF,C(F)(F)F,difluoromethyl,perfluoromethyl,0.6697504811531139
74,0.1513322549066534,FCF,C1=CC=C([N+](=O)[O-])C=C1,difluoromethyl,nitrophenyl,1.144819598090407
75,0.132226480797035,O,c1ccc(cc1)O,hydroxyl,phenol,6.757556594716522
76,0.11138415725083023,C=C,c1ccc(cc1)O,ethylene,phenol,1.2243897056775217
77,0.13228657035888614,FCF,C=C,difluoromethyl,ethylene,0.21809994336374983
78,0.1685489467570546,FCF,C,difluoromethyl,methyl,0.40581976960354016
79,0.14615042739997733,FCF,C=C,difluoromethyl,ethylene,0.5669896484599839
80,0.1428830619998364,C=C,Cc1ccccc1,ethylene,toluene,0.9029031815087758
81,0.121334201070917,c1ccc(cc1)O,C1=CNC=C1,phenol,pyrrole,3.288416155123131
82,0.15321813349149327,FCF,C(F)(F)F,difluoromethyl,perfluoromethyl,0.3249222383122503
83,0.1143045675797134,C#N,FCF,cyano,difluoromethyl,0.7194126930659821
84,0.12075279971584814,C(=O)O,FCF,carboxyl,difluoromethyl,0.9319910153958391
85,0.15753214383829364,[N+](=O)[O-],c1ccc(cc1)O,nitro,phenol,3.5500415224255057
86,0.13370423872197904,FCF,C(C)C,difluoromethyl,isopropyl,0.545789105650349
87,0.13084484740982283,FCF,C1=CC=C(F)C=C1,difluoromethyl,fluorophenyl,0.7722707930377828
88,0.1449835128573057,OC,Cc1ccccc1,methoxy,toluene,1.225785244923101
89,0.1181108463914054,C=C,c1ccc(cc1)O,ethylene,phenol,1.37045415539327
90,0.1208091257602376,C=C,c1ccc(cc1)O,ethylene,phenol,1.4389764919568404
91,0.13289711186350883,c1ccc(cc1)O,C1=CC=CC=C1,phenol,phenyl,2.189373554739887
92,0.13182762200541315,C1=CNC=C1,Cc1ccccc1,pyrrole,toluene,1.6330859404216154
93,0.14718203654332118,N,Cc1ccccc1,amino,toluene,1.5669124360820352
94,0.13739265076461016,C1=CC=C([N+](=O)[O-])C=C1,Cc1ccccc1,nitrophenyl,toluene,1.4726035030645725
95,0.1211814898878663,c1ccc(cc1)O,C1=CNC=C1,phenol,pyrrole,3.4502249190221583
96,0.14278902862091522,FCF,C1=CC=CC=C1,difluoromethyl,phenyl,1.1620076153247387
97,0.11956344538967803,c1ccc(cc1)O,C1=CNC=C1,phenol,pyrrole,3.6879238927135543
98,0.1496283355297504,C1CC1,c1ccc(cc1)O,cyclopropyl,phenol,0.8220254235608402
99,0.1254657990416566,C#N,c1ccc(cc1)O,cyano,phenol,5.234590317403544
100,0.13379662333058787,C(=O)O,Cc1ccccc1,carboxyl,toluene,1.575538561615387
101,0.12302944818205175,C#N,Cc1ccccc1,cyano,toluene,0.8511554600038886
102,0.15636627068716807,FCF,C1=CC=C(F)C=C1,difluoromethyl,fluorophenyl,0.872633664361405
103,0.14192759874982194,C1=CC=CC=C1,Cc1ccccc1,phenyl,toluene,1.1885440216046672
104,0.13188656385659933,OC,c1ccc(cc1)O,methoxy,phenol,3.281445967847079
105,0.1552346318589629,O,Cc1ccccc1,hydroxyl,toluene,0.6228780042372661
106,0.1678508945813403,C(F)(F)F,Cc1ccccc1,perfluoromethyl,toluene,-0.1634256029073775
107,0.17242352566590438,C1CC1,FCF,cyclopropyl,difluoromethyl,0.028508887166307062
108,0.11186692994657933,C#N,FCF,cyano,difluoromethyl,0.8490967224461532
109,0.12937739864376044,C1=CC=C([N+](=O)[O-])C=C1,Cc1ccccc1,nitrophenyl,toluene,2.0605012232423188
110,0.1462479774324949,FCF,[N+](=O)[O-],difluoromethyl,nitro,0.6074038085656754
111,0.1495704177335116,N,FCF,amino,difluoromethyl,0.8459863685447857
112,0.14970241025781778,FCF,[N+](=O)[O-],difluoromethyl,nitro,0.8171484313102315
113,0.16662842732645772,FCF,OC,difluoromethyl,methoxy,0.7182389451874518
114,0.15730662990402394,C(=O)C,FCF,acetyl,difluoromethyl,0.5416739982041596
115,0.13396422347618508,C,c1ccc(cc1)O,methyl,phenol,1.1123637503684618
116,0.13573211769820454,FCF,C=C,difluoromethyl,ethylene,0.5580918852378947
117,0.14691568075517314,FCF,C1=CNC=C1,difluoromethyl,pyrrole,0.6534834690505575
118,0.13019431487313043,C1=CC=C(F)C=C1,c1ccc(cc1)O,fluorophenyl,phenol,2.77814072078574
119,0.1256249023434451,C(F)(F)F,c1ccc(cc1)O,perfluoromethyl,phenol,1.2177530256166569
120,0.1695764709505049,C1CC1,FCF,cyclopropyl,difluoromethyl,-0.2531581763154782
121,0.13439918324675357,C(C)C,Cc1ccccc1,isopropyl,toluene,1.1286291834888713
122,0.14761091125316794,C1CC1,FCF,cyclopropyl,difluoromethyl,0.26024322348660345
123,0.12875486411922588,OC,Cc1ccccc1,methoxy,toluene,2.041355798728998
124,0.15546406481343672,FCF,C1=CC=CC=C1,difluoromethyl,phenyl,0.7746740395868925
125,0.13623909250390875,C(C)C,Cc1ccccc1,isopropyl,toluene,0.9474125008594179
126,0.14932784933389365,N,FCF,amino,difluoromethyl,1.040502899801004
127,0.14958471053025346,C(F)(F)F,c1ccc(cc1)O,perfluoromethyl,phenol,1.0889136048201666
128,0.1530214896626049,[N+](=O)[O-],c1ccc(cc1)O,nitro,phenol,3.2773750829610906
129,0.12262734694672392,C(=O)O,c1ccc(cc1)O,carboxyl,phenol,6.268037916264897
130,0.12119297787852103,FCF,C(C)C,difluoromethyl,isopropyl,0.7452649102854088
131,0.0947862918634252,C#N,c1ccc(cc1)O,cyano,phenol,5.407799101940618
132,0.14956122756176782,C1CC1,c1ccc(cc1)O,cyclopropyl,phenol,0.9222826515218712
133,0.1341605944426362,C(=O)C,FCF,acetyl,difluoromethyl,0.991734415632687
134,0.14229407522653129,C1CC1,c1ccc(cc1)O,cyclopropyl,phenol,0.9519528293908133
135,0.14952229867392128,FCF,O,difluoromethyl,hydroxyl,1.3311319648577538
136,0.11857052563860698,C#N,c1ccc(cc1)O,cyano,phenol,5.394245062033811
137,0.1416331952424102,C#N,Cc1ccccc1,cyano,toluene,0.5088740778790606
138,0.17428685615067005,FCF,OC,difluoromethyl,methoxy,0.8817651495732504
139,0.12614256540418503,C(C)C,c1ccc(cc1)O,isopropyl,phenol,1.3002058737175255
140,0.12068184057161419,C(=O)O,c1ccc(cc1)O,carboxyl,phenol,6.0782406097939266
141,0.12861425536232873,FCF,C(C)C,difluoromethyl,isopropyl,0.5601155115284442
142,0.11088994947252453,c1ccc(cc1)O,C1=CC=CC=C1,phenol,phenyl,2.4703611072566956
143,0.16716809173599223,FCF,O,difluoromethyl,hydroxyl,0.8898375299650003
